period	subgrp	N	mob1	mob2	mob3	mob1se	mob2se	mob3se
"1 to 5"	"s2_min1_frl34"	580	.47464705	.18090598	.06080143	.04208411	.04070018	.02430168
"1 to 5"	"s2_min1_dsize1"	1410	.35384124	.23335924	.06454028	.02910405	.02894486	.01776182
"1 to 5"	"s2_min1_dsize2"	1530	.41209075	.18091134	.07737257	.03060199	.0216886	.0157257
"1 to 5"	"s2_min1_dsize3"	1010	.48070996	.17923981	.11135767	.02780801	.03412481	.02566831
"1 to 5"	"s2_min2_frl1"	190	.5859121	.43324187	.08884556	.06287276	.0730264	.03287483
"1 to 5"	"s2_min2_frl2"	370	.49389138	.15579275	.0814675	.05801654	.03971248	.02683093
"1 to 5"	"s2_min2_frl34"	480	.40595466	.16772619	.02909113	.06941603	.03871251	.01388434
"1 to 5"	"s2_min2_dsize1"	140	.42889171	.1697032	-99	.18108689	.09109202	-99
"1 to 5"	"s2_min2_dsize2"	370	.44148714	.19230595	.06501701	.05392372	.03717159	.0224524
"1 to 5"	"s2_min2_dsize3"	600	.48180936	.22675172	.05444975	.04187073	.04331127	.02070844
"1 to 5"	"s2_min3_frl1"	50	.66709561	.44135176	-99	.18310633	.19171631	-99
"1 to 5"	"s2_min3_frl2"	190	.54854341	.26186082	-99	.06262719	.06766917	-99
"1 to 5"	"s2_min3_frl34"	1890	.52982653	.16838989	.03956758	.03088292	.01868449	.00828126
"1 to 5"	"s2_min3_dsize1"	190	.42502811	.37223677	.10812221	.08660189	.07586076	.04402181
"1 to 5"	"s2_min3_dsize2"	640	.4495543	.1658472	.03394638	.06402535	.03349017	.01394175
"1 to 5"	"s2_min3_dsize3"	1350	.58569735	.16863927	.03560817	.01945108	.02236013	.00971894
"1 to 5"	"s2_frl1_dsize1"	700	.2934334	.22979362	.08311813	.04130673	.03957281	.01986178
"1 to 5"	"s2_frl1_dsize2"	960	.43387702	.24279791	.10889411	.03862815	.03114125	.02262266
"1 to 5"	"s2_frl1_dsize3"	610	.46173955	.25781709	.09978957	.03498494	.05149262	.02665193
"1 to 5"	"s2_frl2_dsize1"	490	.42070236	.26149301	.06223566	.062161	.04137057	.03320565
"1 to 5"	"s2_frl2_dsize2"	560	.43721702	.16398241	.06240734	.04135581	.03896736	.01638777
"1 to 5"	"s2_frl2_dsize3"	690	.49800819	.13089207	.06218603	.04319609	.0294795	.01920625
